PARTICIPANT_ID,PSEUDO_PARTICIPANT_ID,PRODUCT,SURVEY_ID,SURVEY_TS,RESPONSE_TS,SURVEY_DT,RESPONSE_DT,SURVEY_CD,SOURCE_SURVEY_TYPE_CD,CC_SURVEY_TYPE_TXT,SOURCE_DISPATCH_ID,SURVEY_START_TS,SURVEY_END_TS,COMPLTN_TYPE_NR,INTERACTION_ID,OVERALL_ADVISOR_SAT,QUEUE_TIME_SAT,SAT_FACTOR,SURVEY_RESPONSE_CHANNEL,SENTIMENT_VAL,SENTIMENT_PROBABILITY_NR,TOPIC_1_NAME,TOPIC_1_SIMILARITY_SCORE,TOPIC_2_NAME,TOPIC_2_SIMILARITY_SCORE,TOPIC_3_NAME,TOPIC_3_SIMILARITY_SCORE,TOPIC_4_NAME,TOPIC_4_SIMILARITY_SCORE,TOPIC_5_NAME,TOPIC_5_SIMILARITY_SCORE
638373312152425403,10000230396,PARTNER RELATIONS,9220304215328655,2024-07-31T18:57:28Z,2024-08-01T06:32:14Z,2024-07-31,2024-08-01,,,,,2024-08-01T06:31:28Z,2024-08-01T06:32:14Z,1,,,,,WEB,-1,0.0134,Apple Account and ID Issues,0.5235,Faulty AirPods and Replacements,0.3320,Call Resolution and Technical Support,0.2895,iPhone Service Issues,0.2612,Phone and Device Authentication,0.2584
638373312152436956,10000297002,PARTNER RELATIONS,9220304215328655,2024-07-31T19:30:44Z,2024-08-01T05:40:24Z,2024-07-31,2024-08-01,,,,,2024-08-01T05:38:53Z,2024-08-01T05:40:24Z,1,,,,,WEB,-1,0.0123,Refund and Payment Issues,0.3651,Delays and Wait Times,0.1955,Apple Account and ID Issues,0.1896,Faulty AirPods and Replacements,0.1776,Phone and Device Authentication,0.1772
638373312152646778,10000452338,PARTNER RELATIONS,9220304215328655,2024-08-01T04:12:28Z,2024-08-01T05:42:41Z,2024-08-01,2024-08-01,,,,,2024-08-01T05:38:12Z,2024-08-01T05:42:41Z,1,,,,,WEB,-1,0.0021,Call Resolution and Technical Support,0.5657,iPhone Service Issues,0.3793,Refund and Payment Issues,0.3704,Message and Email Notifications,0.3418,Faulty AirPods and Replacements,0.2520
638373312165304218,10000653982,macOS Sonoma 14,9220419201901823,2024-08-22T21:20:19.416Z,2024-08-22T22:31:49Z,2024-08-22,2024-08-22,,,,,2024-08-22T22:30:39Z,2024-08-22T22:31:49Z,1,,1,,,WEB,0,0.5518,Courteous and Professional Advisors,0.5725,iPhone Service Issues,0.5370,Call Resolution and Technical Support,0.5258,Apple Account and ID Issues,0.2572,Delays and Wait Times,0.2033
638373312165319398,10000396982,iCloud,9220419201901823,2024-08-22T22:09:58.603Z,2024-08-22T22:12:30Z,2024-08-22,2024-08-22,,,,,2024-08-22T22:10:23Z,2024-08-22T22:12:30Z,1,,1,,,WEB,0,0.9198,Thank You Messages,0.2721,Courteous and Professional Advisors,0.2482,iPhone Service Issues,0.2454,Message and Email Notifications,0.2210,Phone and Device Authentication,0.2208
638373312165317625,10000686797,iPhone 13,9220419201901823,2024-08-22T22:03:02.409Z,2024-08-22T22:06:44Z,2024-08-22,2024-08-22,,,,,2024-08-22T22:03:34Z,2024-08-22T22:06:44Z,1,,1,,,WEB,0,0.9501,Phone and Device Authentication,0.6954,iPhone Service Issues,0.5798,iPhone Service Issues,0.4901,Faulty AirPods and Replacements,0.4012,Thank You Messages,0.3978
638373312165338219,10000642193,App Store & Third-party Apps,9220419201901823,2024-08-22T23:00:05.532Z,2024-08-22T23:02:10Z,2024-08-22,2024-08-22,,,,,2024-08-22T23:01:15Z,2024-08-22T23:02:10Z,1,,1,,,WEB,1,0.0289,Courteous and Professional Advisors,0.4995,iPhone Service Issues,0.4580,Message and Email Notifications,0.4335,Thank You Messages,0.4261,Call Resolution and Technical Support,0.3931
638373312165332840,10000606262,NON TECHNICAL ISSUE,9220419201901823,2024-08-22T22:42:52.57Z,2024-08-22T22:43:52Z,2024-08-22,2024-08-22,,,,,2024-08-22T22:43:09Z,2024-08-22T22:43:52Z,1,,1,,,WEB,1,0.1169,Thank You Messages,0.5538,Great Customer Experience,0.5242,Courteous and Professional Advisors,0.4341,Negative Feedback,0.3214,iPhone Service Issues,0.3057
638373312164464492,10000448972,Billing & Accounts,9220419201901823,2024-08-21T08:36:09.124Z,2024-08-23T00:26:57Z,2024-08-21,2024-08-23,,,,,2024-08-23T00:25:34Z,2024-08-23T00:26:57Z,1,,5,,,WEB,-1,0.0182,Message and Email Notifications,0.4256,Negative Feedback,0.2861,Refund and Payment Issues,0.2566,Phone and Device Authentication,0.1848,Positive Feedback on Products,0.1659
638373312165307845,10000878433,App Store & Third-party Apps,9220419201901823,2024-08-22T21:40:07.633Z,2024-08-22T22:48:18Z,2024-08-22,2024-08-22,,,,,2024-08-22T22:39:15Z,2024-08-22T22:48:18Z,1,,1,,,WEB,0,0.9234,Apple Account and ID Issues,0.8218,iPhone Service Issues,0.5055,iPhone Service Issues,0.4522,Positive Feedback on Products,0.3690,Phone and Device Authentication,0.2772
